Segment Name,Start Time,End Time,Number of Logs,Generate Field Name,Generate Matched Values,Segment Type
fixed_time0,2021-06-14 17:31:30.656000,2021-06-14 17:31:35.656000,3,,,Segment_Type.FIXED_TIME
fixed_time2,2021-06-14 17:31:40.656000,2021-06-14 17:31:45.656000,9,,,Segment_Type.FIXED_TIME
fixed_time3,2021-06-14 17:31:45.656000,2021-06-14 17:31:50.656000,8,,,Segment_Type.FIXED_TIME
fixed_time4,2021-06-14 17:31:50.656000,2021-06-14 17:31:55.656000,10,,,Segment_Type.FIXED_TIME
fixed_time5,2021-06-14 17:31:55.656000,2021-06-14 17:32:00.656000,7,,,Segment_Type.FIXED_TIME
fixed_time6,2021-06-14 17:32:00.656000,2021-06-14 17:32:05.656000,6,,,Segment_Type.FIXED_TIME
fixed_time11,2021-06-14 17:32:25.656000,2021-06-14 17:32:30.656000,9,,,Segment_Type.FIXED_TIME
fixed_time12,2021-06-14 17:32:30.656000,2021-06-14 17:32:35.656000,12,,,Segment_Type.FIXED_TIME
fixed_time13,2021-06-14 17:32:35.656000,2021-06-14 17:32:40.656000,8,,,Segment_Type.FIXED_TIME
fixed_time14,2021-06-14 17:32:40.656000,2021-06-14 17:32:45.656000,19,,,Segment_Type.FIXED_TIME
fixed_time16,2021-06-14 17:32:50.656000,2021-06-14 17:32:55.656000,8,,,Segment_Type.FIXED_TIME
fixed_time37,2021-06-14 17:34:35.656000,2021-06-14 17:34:40.656000,9,,,Segment_Type.FIXED_TIME
fixed_time38,2021-06-14 17:34:40.656000,2021-06-14 17:34:45.656000,24,,,Segment_Type.FIXED_TIME
fixed_time39,2021-06-14 17:34:45.656000,2021-06-14 17:34:50.656000,10,,,Segment_Type.FIXED_TIME
fixed_time40,2021-06-14 17:34:50.656000,2021-06-14 17:34:55.656000,7,,,Segment_Type.FIXED_TIME
fixed_time41,2021-06-14 17:34:55.656000,2021-06-14 17:35:00.656000,4,,,Segment_Type.FIXED_TIME
fixed_time65,2021-06-14 17:36:55.656000,2021-06-14 17:37:00.656000,8,,,Segment_Type.FIXED_TIME
fixed_time66,2021-06-14 17:37:00.656000,2021-06-14 17:37:05.656000,8,,,Segment_Type.FIXED_TIME
fixed_time67,2021-06-14 17:37:05.656000,2021-06-14 17:37:10.656000,9,,,Segment_Type.FIXED_TIME
fixed_time68,2021-06-14 17:37:10.656000,2021-06-14 17:37:15.656000,30,,,Segment_Type.FIXED_TIME
fixed_time69,2021-06-14 17:37:15.656000,2021-06-14 17:37:20.656000,14,,,Segment_Type.FIXED_TIME
fixed_time70,2021-06-14 17:37:20.656000,2021-06-14 17:37:25.656000,4,,,Segment_Type.FIXED_TIME
fixed_time71,2021-06-14 17:37:25.656000,2021-06-14 17:37:30.656000,17,,,Segment_Type.FIXED_TIME
fixed_time72,2021-06-14 17:37:30.656000,2021-06-14 17:37:35.656000,12,,,Segment_Type.FIXED_TIME
fixed_time73,2021-06-14 17:37:35.656000,2021-06-14 17:37:40.656000,16,,,Segment_Type.FIXED_TIME
fixed_time74,2021-06-14 17:37:40.656000,2021-06-14 17:37:45.656000,8,,,Segment_Type.FIXED_TIME
fixed_time75,2021-06-14 17:37:45.656000,2021-06-14 17:37:50.656000,7,,,Segment_Type.FIXED_TIME
fixed_time76,2021-06-14 17:37:50.656000,2021-06-14 17:37:55.656000,5,,,Segment_Type.FIXED_TIME
fixed_time94,2021-06-14 17:39:20.656000,2021-06-14 17:39:25.656000,3,,,Segment_Type.FIXED_TIME
fixed_time95,2021-06-14 17:39:25.656000,2021-06-14 17:39:30.656000,24,,,Segment_Type.FIXED_TIME
fixed_time110,2021-06-14 17:40:40.656000,2021-06-14 17:40:45.656000,8,,,Segment_Type.FIXED_TIME
fixed_time111,2021-06-14 17:40:45.656000,2021-06-14 17:40:50.656000,23,,,Segment_Type.FIXED_TIME
fixed_time112,2021-06-14 17:40:50.656000,2021-06-14 17:40:55.656000,21,,,Segment_Type.FIXED_TIME
fixed_time113,2021-06-14 17:40:55.656000,2021-06-14 17:41:00.656000,12,,,Segment_Type.FIXED_TIME
fixed_time114,2021-06-14 17:41:00.656000,2021-06-14 17:41:05.656000,32,,,Segment_Type.FIXED_TIME
fixed_time115,2021-06-14 17:41:05.656000,2021-06-14 17:41:10.656000,7,,,Segment_Type.FIXED_TIME
fixed_time116,2021-06-14 17:41:10.656000,2021-06-14 17:41:15.656000,6,,,Segment_Type.FIXED_TIME
fixed_time117,2021-06-14 17:41:15.656000,2021-06-14 17:41:20.656000,10,,,Segment_Type.FIXED_TIME
fixed_time118,2021-06-14 17:41:20.656000,2021-06-14 17:41:25.656000,5,,,Segment_Type.FIXED_TIME
fixed_time183,2021-06-14 17:46:45.656000,2021-06-14 17:46:50.656000,25,,,Segment_Type.FIXED_TIME
fixed_time184,2021-06-14 17:46:50.656000,2021-06-14 17:46:55.656000,18,,,Segment_Type.FIXED_TIME
deadspace0,2021-06-14 17:31:32.888000,2021-06-14 17:31:44.212000,3,,,Segment_Type.DEADSPACE
deadspace1,2021-06-14 17:32:02.979000,2021-06-14 17:32:27.444000,2,,,Segment_Type.DEADSPACE
deadspace2,2021-06-14 17:32:46.162000,2021-06-14 17:32:52.065000,4,,,Segment_Type.DEADSPACE
deadspace3,2021-06-14 17:32:57.375000,2021-06-14 17:34:30.255000,2,,,Segment_Type.DEADSPACE
deadspace4,2021-06-14 17:34:30.255000,2021-06-14 17:34:38.186000,2,,,Segment_Type.DEADSPACE
deadspace5,2021-06-14 17:34:54.619000,2021-06-14 17:34:59.824000,3,,,Segment_Type.DEADSPACE
deadspace6,2021-06-14 17:35:00.742000,2021-06-14 17:36:53.063000,2,,,Segment_Type.DEADSPACE
deadspace7,2021-06-14 17:37:21.860000,2021-06-14 17:37:27.061000,2,,,Segment_Type.DEADSPACE
deadspace8,2021-06-14 17:37:53.116000,2021-06-14 17:38:12.747000,2,,,Segment_Type.DEADSPACE
deadspace9,2021-06-14 17:38:12.747000,2021-06-14 17:39:24.440000,2,,,Segment_Type.DEADSPACE
deadspace10,2021-06-14 17:39:29.337000,2021-06-14 17:39:36.862000,3,,,Segment_Type.DEADSPACE
deadspace11,2021-06-14 17:39:37.980000,2021-06-14 17:40:33.625000,2,,,Segment_Type.DEADSPACE
deadspace12,2021-06-14 17:40:33.625000,2021-06-14 17:40:42.844000,2,,,Segment_Type.DEADSPACE
deadspace13,2021-06-14 17:41:21.838000,2021-06-14 17:46:44.112000,2,,,Segment_Type.DEADSPACE
generated0,2021-06-14 17:31:43.212000,2021-06-14 17:31:45.212000,9,type,['click'],Segment_Type.GENERATE
generated1,2021-06-14 17:31:45.212000,2021-06-14 17:31:46.955000,1,type,['click'],Segment_Type.GENERATE
generated2,2021-06-14 17:31:46.955000,2021-06-14 17:31:48.135000,5,type,['click'],Segment_Type.GENERATE
generated3,2021-06-14 17:31:48.728000,2021-06-14 17:31:50.728000,2,type,['click'],Segment_Type.GENERATE
generated4,2021-06-14 17:31:51.239000,2021-06-14 17:31:53.239000,4,type,['click'],Segment_Type.GENERATE
generated5,2021-06-14 17:31:53.710000,2021-06-14 17:31:55.710000,5,type,['click'],Segment_Type.GENERATE
